"","FP","variable","Severity","Region","Access_modality","Focus","ESS_Categoty","ESS_Category"
"78","FP024","Impact of the implementation challenge on the project implementation","High","Africa","Direct","Adaptation","Category C","Category C"
"79","FP025","Impact of the legal challenge on the project implementation","Minor/solved","Global","International","Cross-cutting","Intermediation 2","Category B"
"80","FP025","Impact of the financial challenge on the project implementation","High","Global","International","Cross-cutting","Intermediation 2","Category B"
"81","FP026","Impact of the implementation challenge on the project implementation2","Moderate","Africa","International","Cross-cutting","Category B","Category B"
"82","FP026","Impact of the implementation challenge on the project implementation","High","Africa","International","Cross-cutting","Category B","Category B"
"83","FP026","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Cross-cutting","Category B","Category B"
"84","FP028","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"85","FP028","Impact of the financial challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"86","FP028","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"87","FP028","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"88","FP033","Impact of the implementation challenge on the project implementation3","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"89","FP033","Impact of the implementation challenge on the project implementation2","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"90","FP033","Impact of the implementation challenge on the project implementation4","Moderate","Africa","International","Mitigation","Category B","Category B"
"91","FP033","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"92","FP033","Impact of the  procurement challenge on the project implementation","High","Africa","International","Mitigation","Category B","Category B"
"93","FP033","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Mitigation","Category B","Category B"
"94","FP034","Impact of the political challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"95","FP034","Impact of the financial challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"96","FP034","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Adaptation","Category B","Category B"
"97","FP034","Impact of the implementation challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"98","FP034","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Adaptation","Category B","Category B"
"99","FP035","Impact of the implementation challenge on the project implementation4","High","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"100","FP035","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"101","FP035","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"102","FP035","Impact of the financial challenge on the project implementation","High","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"103","FP035","Impact of the implementation challenge on the project implementation3","High","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"104","FP035","Impact of the implementation challenge on the project implementation","Moderate","Asia-Pacific","Direct","Adaptation","Category C","Category C"
"105","FP036","Impact of the  procurement challenge on the project implementation","Minor/solved","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"106","FP037","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"107","FP037","Impact of the implementation challenge on the project implementation2","Minor/Solved","Asia-Pacific","International","Adaptation","Category B","Category B"
"108","FP037","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"109","FP037","Impact of the financial challenge on the project implementation2","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"110","FP037","Impact of the financial challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"111","FP039","Impact of the  procurement challenge on the project implementation","Moderate","Africa","International","Mitigation","Category B","Category B"
"112","FP039","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"113","FP039","Impact of the implementation challenge on the project implementation","Minor/Solved","Africa","International","Mitigation","Category B","Category B"
"114","FP040","Impact of the  procurement challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Cross-cutting","Category B","Category B"
"115","FP046","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"116","FP046","Impact of the implementation challenge on the project implementation2","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"117","FP046","Impact of the  procurement challenge on the project implementation","Moderate","Asia-Pacific","Direct","Mitigation","Intermediation 2","Category B"
"118","FP047","Impact of the implementation challenge on the project implementation","Minor/Solved","Asia-Pacific","International","Mitigation","Category A","Category A"
"119","FP051","Impact of the political challenge on the project implementation","High","Eastern Europe","International","Mitigation","Category C","Category C"
"120","FP056","Impact of the implementation challenge on the project implementation","Moderate","L. America & Caribbean","International","Adaptation","Category B","Category B"
"121","FP056","Impact of the political challenge on the project implementation","High","L. America & Caribbean","International","Adaptation","Category B","Category B"
"122","FP056","Impact of the other challenges on the project implementation","Minor/Solved","L. America & Caribbean","International","Adaptation","Category B","Category B"
"123","FP068","Impact of the political challenge on the project implementation","Minor/Solved","Eastern Europe","International","Adaptation","Category B","Category B"
"124","FP069","Impact of the legal challenge on the project implementation","Moderate","Asia-Pacific","International","Adaptation","Category B","Category B"
"125","FP069","Impact of the political challenge on the project implementation","Minor/solved","Asia-Pacific","International","Adaptation","Category B","Category B"
